symbol,datetime,open,high,low,close
AMC,2022-07-27 04:00:00,14.23,14.5374,13.815,14.48
AMC,2022-07-28 04:00:00,14.63,15.29,14.2,14.58
AMC,2022-07-29 04:00:00,14.31,14.87,14.04,14.56
AMC,2022-08-01 04:00:00,14.33,15.5,14.32,15.37
AMC,2022-08-02 04:00:00,15.45,16.985,15.31,16.86
AMC,2022-08-03 04:00:00,17.2,18.27,16.78,18.21
AMC,2022-08-04 04:00:00,18.98,19.75,18.25,18.66
AMC,2022-08-05 04:00:00,16.97,22.77,16.5,22.18
AMC,2022-08-08 04:00:00,24.06,27.5,23.1,23.96
AMC,2022-08-09 04:00:00,23.2,23.85,21.74,22.45
AMC,2022-08-10 04:00:00,23.39,23.7963,20.73,23.67
AMC,2022-08-11 04:00:00,24.07,26.08,23.68,25.46
AMC,2022-08-12 04:00:00,26.94,27.2,23.96,24.44
AMC,2022-08-15 04:00:00,24.07,24.49,22.67,24.21
AMC,2022-08-16 04:00:00,24.01,26.1588,23.4,24.81
AMC,2022-08-17 04:00:00,24.59,25.45,21.28,21.36
AMC,2022-08-18 04:00:00,21.86,22.09,19.12,19.29
AMC,2022-08-19 04:00:00,18.04,18.96,17.5,18.02
AMC,2022-08-22 04:00:00,11.33,13.05,10.3,10.46
AMC,2022-08-23 04:00:00,10.72,10.94,9.47,9.56
AMC,2022-08-24 04:00:00,9.59,9.9,9.23,9.58
AMC,2022-08-25 04:00:00,9.78,9.94,9.31,9.57
AMC,2022-08-26 04:00:00,9.58,9.67,8.96,9.17
AMC,2022-08-29 04:00:00,9.04,9.61,8.91,9.47
AMC,2022-08-30 04:00:00,9.59,9.6425,9.03,9.27
AMC,2022-08-31 04:00:00,9.11,9.28,8.68,9.12
AMC,2022-09-01 04:00:00,9.03,9.03,8.3,8.58
AMC,2022-09-02 04:00:00,8.78,9.17,8.35,8.88
AMC,2022-09-06 04:00:00,8.65,8.75,8.17,8.19
AMC,2022-09-07 04:00:00,8.07,8.455,7.89,8.39
AMC,2022-09-08 04:00:00,8.3,8.72,8.24,8.64
